Name,Description,Note,Created,Last edited time,length,Created by,Days
系統＝要素×連接關係,"《底層邏輯》
",,"January 12, 2023 4:21 PM","April 26, 2023 7:07 PM",10,imac-fly,104
與關鍵人物保持良好關係。,《權力》,,"July 24, 2022 2:58 PM","April 26, 2023 7:08 PM",12,imac-fly,276
一切煩惱都來自於人際關係。,《被討厭的勇氣：自我啟發之父「阿德勒」的教導》,,"September 9, 2022 8:38 AM","April 26, 2023 7:08 PM",13,imac-fly,229
不要動用關係來幫人找工作。,《原則》,,"June 17, 2022 12:01 PM","April 26, 2023 7:08 PM",13,imac-fly,313
床僅限於睡眠及親密關係使用。,"《清醒夢療法》",,"March 2, 2023 1:19 AM","April 26, 2023 7:08 PM",14,imac-fly,55
在人際關係中當個「研究者」。,《人生4千個禮拜》,,"May 31, 2022 1:48 PM","April 26, 2023 7:08 PM",14,imac-fly,330
任何感情關係都需要努力經營。,《哈佛✕Google行為科學家的脫單指南》,,"May 23, 2022 7:25 AM","April 26, 2023 7:08 PM",14,imac-fly,338
真愛「必須是平等互饋的關係」。,《成為西蒙波娃》,,"May 9, 2022 10:05 PM","April 26, 2023 7:08 PM",15,imac-fly,351
溝通，是為了建立有意義的關係。,《順勢溝通》,,"April 30, 2022 10:34 AM","April 30, 2022 10:34 AM",15,imac-fly,0
人與人之間的關係就像是一個系統。,"《關係結束後，成為更好的自己【薩提爾專文推薦暢銷經典版】》",,"April 15, 2023 10:38 PM","April 26, 2023 7:08 PM",16,imac-fly,10
其實修行，修的是你跟自己的關係。,"《靈界運作》",,"March 19, 2023 1:16 PM","April 6, 2023 8:15 AM",16,imac-fly,17
人類的煩惱，全都是人際關係的煩惱。,"《被討厭的勇氣：自我啟發之父「阿德勒」的教導》",,"February 24, 2023 5:32 PM","April 26, 2023 7:08 PM",17,imac-fly,61
假設語氣偷渡了一絲因果關係的暗示。,《數據的假象》,,"June 9, 2022 11:08 PM","April 26, 2023 7:08 PM",17,imac-fly,320
有意義的工作和有意義的關係一樣重要。,"《原則》
",,"January 5, 2023 1:56 PM","April 26, 2023 7:09 PM",18,imac-fly,111
改善人際關係，從學習表達和傾聽開始。,《找回專注力》,,"April 25, 2022 2:50 PM","January 31, 2023 8:51 AM",18,imac-fly,280
一個人可能與不同的物質有著不同的關係。,《減害心理治療》,,"October 19, 2022 5:36 PM","April 26, 2023 7:09 PM",19,imac-fly,189
在日本，物與環境的關係比物體本身重要。,《守．破．離》,,"May 19, 2022 9:11 AM","May 19, 2022 9:11 AM",19,imac-fly,0
"分享彼此的心情，可以建立良好的關係。","《最高閒聊法》",,"April 12, 2023 2:17 PM","April 12, 2023 2:17 PM",20,imac-fly,0
親密關係讓你瞥見了天堂，卻不能讓你久居。,"《當下的力量（全新紀念版）》",,"February 15, 2023 12:20 PM","April 26, 2023 7:09 PM",20,imac-fly,70
八十歲的健康，取決於五十歲時的人際關係。,《最後一次相遇，我們只談喜悅（暢銷新版）》,,"November 14, 2022 9:27 AM","November 14, 2022 9:27 AM",20,imac-fly,0
怯懦是一種會破壞所有人際關係的性格特徵。,《阿德勒心理學講義2》,,"July 10, 2022 6:53 PM","July 10, 2022 6:53 PM",20,imac-fly,0
當我們停止成長的同時，愛便從關係裡消失。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"May 26, 2022 3:11 PM","April 11, 2023 6:38 PM",20,imac-fly,320
現在有將近四成的感情關係都是始於網路交友。,《逆向工程，你我都能變優秀的祕訣：全球頂尖創新者、運動員、藝術家共同實證》,,"June 20, 2022 9:19 AM","April 26, 2023 7:09 PM",21,imac-fly,310
你最親密的關係，是和自己的想法之間的關係。,《我需要你的愛。這是真的嗎？》,,"May 26, 2022 3:45 PM","May 26, 2022 3:45 PM",21,imac-fly,0
不批評、不評斷，在親密關係裡面是非常重要的。,"《我想跟你好好說話》",,"April 12, 2023 10:52 PM","April 26, 2023 7:09 PM",22,imac-fly,13
動物通常會透過眼神交流的模式，建立支配關係。,"《即興》
",,"January 11, 2023 7:48 PM","January 12, 2023 5:32 PM",22,imac-fly,0
在與他人的關係中，專注的首要意義是能夠傾聽。,《愛的藝術（史上最暢銷心理學不朽經典世紀新譯本）》,,"November 30, 2022 4:52 PM","April 26, 2023 7:09 PM",22,imac-fly,147
不批評、不評斷，在親密關係裡面是非常重要的。,《我想跟你好好說話》,,"September 10, 2022 4:10 PM","September 10, 2022 4:10 PM",22,imac-fly,0
"所有溝通的目標，都是為了確認和對方的關係。","《順勢溝通》",,"April 8, 2023 11:21 AM","April 8, 2023 11:21 AM",23,imac-fly,0
反芻思考一段關係，那去認識新朋友會是最積極的。,"《如何成為不完美主義者》",,"April 4, 2023 3:48 PM","April 26, 2023 7:09 PM",23,imac-fly,22
"關係或社群的基要價值應凌駕於個人幸福之上。","《關係的存有》",,"February 15, 2023 5:47 PM","February 15, 2023 5:47 PM",23,imac-fly,0
做愛後好好聊天，正是延續親密關係最重要的小事。,《性愛的科學》,,"October 8, 2022 1:57 PM","April 11, 2023 6:35 PM",23,imac-fly,185
不要認為環境中充滿物品，要認為環境中充滿關係。,《原子習慣》,,"July 3, 2022 7:14 AM","April 26, 2023 7:09 PM",23,imac-fly,297
覺察就是把注意力用來意識此地、此時、關係的遠近。,"《悲傷的大腦》",,"April 21, 2023 2:28 PM","April 26, 2023 7:10 PM",24,imac-fly,5
一旦開了口說話，彼此就會產生一種互相依存的關係。,"《心安的練習：一位麻醉醫師的人間修行》",,"February 25, 2023 8:28 AM","April 26, 2023 7:36 PM",24,imac-fly,60
革命立法者試圖全面重新定義權力關係與所有權關係。,"《資本與意識形態（上下冊不分售）》",,"January 16, 2023 12:35 PM","April 26, 2023 7:09 PM",24,imac-fly,100
離開母親子宮的嬰兒才會理解母子關係的本質是自由。,《人的宗教》,,"December 1, 2022 1:25 PM","April 26, 2023 7:09 PM",24,imac-fly,146
我們不能讓死者復生，但可以讓生者破裂的關係恢復。,《人的條件（全新修訂版）》,,"November 5, 2022 9:55 PM","November 5, 2022 9:55 PM",24,imac-fly,0
你不需要為了完全寬恕人，而與他和解或與他維持關係。,"《這樣做，大腦愈用愈聰明》",,"April 5, 2023 12:26 PM","April 26, 2023 7:36 PM",25,imac-fly,21
真正能讓關係進展的對話，應該是更有意義的心靈交流。,"《獨立，不等於跟愛情誓不兩立！》",,"February 11, 2023 9:15 AM","April 26, 2023 7:09 PM",25,imac-fly,74
自主性、關係及勝任感，是支持自決力的三個組成要素。,《減害心理治療》,,"October 19, 2022 5:11 PM","April 26, 2023 7:10 PM",25,imac-fly,189
